transaction_id,customer_id,transaction_date,product_category,revenue_amount,gross_margin,is_upsell,repeat_index,first_touch_campaign_id,acquisition_channel,acquisition_date,country,nps_score,churn_date,lead_id,mql_date,sql_date,opportunity_date,close_date,deal_status,cohort_month
TX00016805,CUST011773,2025-01-25,Core,94.37,66.06,False,1,CMP0004,Paid Search,2025-01-20,SE,10.0,,LEADA27202FF71,2025-01-17,2025-01-17,2025-01-21,2025-01-25,Won,2025-01
TX00009704,CUST006806,2024-10-17,Core,219.63,153.74,False,1,CMP0036,Referral,2024-10-12,BR,,,LEADF56DBDC7FE,2024-10-08,2024-10-10,2024-10-15,2024-10-17,Won,2024-10
TX00010467,CUST007315,2024-03-20,Core,492.01,344.41,False,1,CMP0040,Affiliate,2024-03-16,DE,3.0,,LEAD43C0017DCF,2024-03-12,2024-03-14,2024-03-19,2024-03-20,Won,2024-03
TX00004589,CUST003204,2025-07-10,Core,202.23,145.61,True,2,CMP0032,Email,2025-03-20,PL,,,LEADC81E6CFEA9,2025-03-15,2025-03-17,2025-03-20,2025-07-10,Won,2025-03
TX00021672,CUST015184,2024-05-28,Premium,402.87,265.89,True,2,CMP0034,Email,2024-04-20,ES,5.0,,LEADCC965C995C,2024-04-18,2024-04-18,2024-04-24,2024-05-28,Won,2024-04
TX00000756,CUST000533,2024-04-01,Core,252.37,176.66,False,1,CMP0009,Paid Search,2024-03-27,GB,1.0,,LEAD28BE3D9EC1,2024-03-26,2024-03-29,2024-03-30,2024-04-01,Won,2024-03
TX00015749,CUST011027,2024-04-19,Premium,559.05,363.38,False,1,CMP0003,Paid Search,2024-04-13,IT,4.0,2024-06-13,LEAD7099503F39,2024-04-10,2024-04-15,2024-04-13,2024-04-19,Won,2024-04
TX00012170,CUST008533,2024-01-22,Premium,250.53,162.84,False,1,CMP0008,Paid Search,2024-01-17,DE,5.0,,LEADFEDBD62636,2024-01-17,2024-01-15,2024-01-18,2024-01-22,Won,2024-01
TX00001795,CUST001251,2024-02-21,Core,163.77,114.64,False,1,CMP0008,Paid Search,2024-02-19,BR,,,LEAD31DA594D8B,2024-02-18,2024-02-20,2024-02-23,2024-02-21,Won,2024-02
TX00011903,CUST008340,2024-06-20,Add-on,473.59,388.34,True,2,CMP0001,Paid Search,2024-04-25,FR,10.0,,LEADCA7537B2CA,2024-04-20,2024-04-24,2024-04-27,2024-06-20,Won,2024-04
TX00001987,CUST001381,2024-12-01,Core,204.95,147.56,True,2,CMP0032,Email,2024-08-04,ES,9.0,2025-04-04,LEAD75597FAB32,2024-08-04,2024-08-05,2024-08-10,2024-12-01,Won,2024-08
TX00000213,CUST000144,2025-04-10,Core,175.83,126.6,True,3,CMP0010,Paid Search,2024-12-31,AU,2.0,,LEADF339E5E681,2024-12-27,2025-01-02,2025-01-03,2025-04-10,Won,2024-12
TX00017798,CUST012493,2024-06-29,Add-on,148.55,121.81,True,2,CMP0008,Paid Search,2024-05-19,FR,9.0,,LEAD1AFB052195,2024-05-18,2024-05-19,2024-05-20,2024-06-29,Won,2024-05
TX00004358,CUST003037,2024-08-24,Premium,376.61,248.56,True,2,CMP0008,Paid Search,2024-06-30,IT,1.0,,LEAD8DC6223DAA,2024-06-30,2024-06-30,2024-06-30,2024-08-24,Won,2024-06
TX00015123,CUST010588,2025-06-24,Core,198.45,138.91,False,1,CMP0020,Paid Social,2025-06-23,CA,,,LEAD055C042A9E,2025-06-18,2025-06-25,2025-06-28,2025-06-24,Won,2025-06
TX00004074,CUST002845,2025-08-07,Core,419.29,301.89,True,4,CMP0058,Direct,2025-01-12,IT,9.0,,LEADF69D129874,2025-01-12,2025-01-09,2025-01-16,2025-08-07,Won,2025-01
TX00001005,CUST000712,2025-08-22,Add-on,143.88,117.98,True,2,CMP0032,Email,2025-06-20,PL,9.0,,LEAD75C5F3940D,2025-06-20,2025-06-17,2025-06-23,2025-08-22,Won,2025-06
TX00016503,CUST011557,2024-03-25,Premium,335.43,218.03,False,1,CMP0058,Direct,2024-03-25,SE,2.0,,LEAD7213BA01AC,2024-03-21,2024-03-23,2024-03-31,2024-03-25,Won,2024-03
TX00001960,CUST001363,2025-04-27,Core,42.43,30.55,True,2,CMP0006,Paid Search,2025-01-13,PL,5.0,,LEADC0CC24A5EC,2025-01-06,2025-01-10,2025-01-18,2025-04-27,Open,2025-01
TX00022263,CUST015605,2024-11-05,Core,314.18,219.93,False,1,CMP0009,Paid Search,2024-11-05,IT,5.0,2024-12-05,LEAD313380C6D3,2024-10-31,2024-11-07,2024-11-08,2024-11-05,Won,2024-11
TX00005432,CUST003794,2024-10-13,Add-on,498.89,399.11,False,1,CMP0059,Direct,2024-10-09,NL,,,LEAD574ABDA344,2024-10-09,2024-10-08,2024-10-10,2024-10-13,Won,2024-10
TX00009426,CUST006618,2024-09-22,Core,478.12,334.68,False,1,CMP0060,Direct,2024-09-20,FR,10.0,,LEAD9278675E76,2024-09-19,2024-09-22,2024-09-27,2024-09-22,Won,2024-09
TX00005803,CUST004057,2024-12-19,Add-on,298.91,239.13,False,1,CMP0057,Direct,2024-12-17,IT,8.0,,LEAD0B0808D2C7,2024-12-16,2024-12-15,2024-12-18,2024-12-19,Won,2024-12
TX00021708,CUST015209,2025-09-23,Core,1106.77,774.74,False,1,CMP0036,Referral,2025-09-19,DE,10.0,,LEAD5B3C7F37AF,2025-09-19,2025-09-19,2025-09-26,2025-09-23,Won,2025-09
TX00019719,CUST013846,2025-04-25,Core,59.1,42.55,True,3,CMP0035,Referral,2024-12-26,IT,2.0,,LEAD58E14C05FD,2024-12-19,2024-12-23,2025-01-01,2025-04-25,Lost,2024-12
TX00010612,CUST007428,2025-04-19,Add-on,311.2,255.18,True,2,CMP0011,Paid Social,2025-02-03,IT,,,LEADDB09B6875E,2025-01-27,2025-01-31,2025-02-06,2025-04-19,Won,2025-02
TX00007490,CUST005231,2025-09-13,Add-on,307.58,246.06,False,1,CMP0026,Organic Search,2025-09-13,IN,1.0,,LEADEC5880B51B,2025-09-08,2025-09-10,2025-09-17,2025-09-13,Won,2025-09
TX00001234,CUST000878,2025-04-19,Core,80.49,56.34,False,1,CMP0060,Direct,2025-04-18,US,4.0,,LEADBD2B373AEC,2025-04-17,2025-04-19,2025-04-22,2025-04-19,Won,2025-04
TX00021238,CUST014882,2025-10-04,Add-on,453.56,371.92,True,2,CMP0006,Paid Search,2025-07-29,BR,10.0,,LEAD6DECE4ED92,2025-07-24,2025-07-30,2025-08-04,2025-10-04,Won,2025-07
TX00016032,CUST011226,2024-12-25,Core,138.0,96.6,False,1,CMP0030,Organic Search,2024-12-25,SE,0.0,,LEAD0DE116AF29,2024-12-25,2024-12-25,2024-12-30,2024-12-25,Won,2024-12
TX00000121,CUST000084,2025-01-27,Add-on,353.32,289.72,True,2,CMP0033,Email,2024-11-20,NL,6.0,2025-11-20,LEAD5DE52E0846,2024-11-15,2024-11-22,2024-11-26,2025-01-27,Lost,2024-11
TX00014752,CUST010324,2024-04-02,Add-on,101.82,81.46,False,1,CMP0010,Paid Search,2024-03-29,ES,4.0,,LEAD450892A633,2024-03-24,2024-03-30,2024-03-31,2024-04-02,Won,2024-03
TX00009390,CUST006593,2025-04-14,Core,259.62,181.73,False,1,CMP0010,Paid Search,2025-04-09,GB,1.0,,LEAD119BCF0BFC,2025-04-02,2025-04-10,2025-04-15,2025-04-14,Won,2025-04
TX00009041,CUST006332,2025-09-14,Core,724.82,507.37,False,1,CMP0009,Paid Search,2025-09-14,NL,3.0,,LEADD16C65B914,2025-09-13,2025-09-16,2025-09-16,2025-09-14,Won,2025-09
TX00017303,CUST012137,2025-08-07,Core,171.58,120.11,False,1,CMP0034,Email,2025-08-01,US,10.0,2025-12-01,LEAD196EBF08D5,2025-07-29,2025-07-31,2025-08-07,2025-08-07,Won,2025-08
TX00022246,CUST015593,2025-06-07,Core,191.24,133.87,False,1,CMP0010,Paid Search,2025-06-04,NL,10.0,,LEAD40ED831A7D,2025-05-29,2025-06-01,2025-06-04,2025-06-07,Won,2025-06
TX00017566,CUST012331,2025-08-31,Core,760.78,547.76,True,4,CMP0060,Direct,2025-02-05,BR,,,LEAD2AFD3AFD7D,2025-02-01,2025-02-07,2025-02-08,2025-08-31,Won,2025-02
TX00007878,CUST005530,2024-05-27,Add-on,226.38,185.63,True,2,CMP0034,Email,2024-01-27,PL,,,LEADB9AD496ED2,2024-01-21,2024-01-29,2024-02-03,2024-05-27,Won,2024-01
TX00007182,CUST005020,2025-05-09,Core,83.32,58.32,False,1,CMP0001,Paid Search,2025-05-09,NL,6.0,,LEADE519423729,2025-05-03,2025-05-08,2025-05-10,2025-05-09,Won,2025-05
TX00021475,CUST015054,2024-10-24,Premium,43.34,28.6,True,2,CMP0036,Referral,2024-08-30,PL,6.0,,LEADEE6AE506CC,2024-08-28,2024-08-27,2024-09-02,2024-10-24,Won,2024-08
TX00021502,CUST015074,2024-02-24,Core,365.12,255.58,False,1,CMP0037,Referral,2024-02-22,GB,4.0,,LEADBA0E69944F,2024-02-17,2024-02-21,2024-02-29,2024-02-24,Won,2024-02
TX00010944,CUST007661,2025-09-26,Add-on,212.62,174.35,True,2,CMP0006,Paid Search,2025-06-30,IT,9.0,,LEAD7031D9E964,2025-06-26,2025-06-28,2025-07-05,2025-09-26,Won,2025-06
TX00022206,CUST015563,2024-10-25,Premium,925.67,601.69,False,1,CMP0009,Paid Search,2024-10-23,US,7.0,2025-05-23,LEADADCED76D06,2024-10-16,2024-10-22,2024-10-30,2024-10-25,Won,2024-10
TX00005411,CUST003779,2025-09-18,Core,242.54,169.78,False,1,CMP0060,Direct,2025-09-16,BR,1.0,,LEAD337D86E22B,2025-09-10,2025-09-13,2025-09-19,2025-09-18,Won,2025-09
TX00013653,CUST009579,2025-04-17,Premium,273.53,177.79,False,1,CMP0008,Paid Search,2025-04-15,SE,10.0,,LEADBDEA0F3F9C,2025-04-13,2025-04-13,2025-04-15,2025-04-17,Won,2025-04
TX00001505,CUST001056,2024-02-08,Premium,658.32,427.91,False,1,CMP0060,Direct,2024-02-07,DE,3.0,,LEAD0D8CAA15E2,2024-02-03,2024-02-06,2024-02-08,2024-02-08,Lost,2024-02
TX00016247,CUST011377,2024-10-06,Core,406.05,284.24,False,1,CMP0003,Paid Search,2024-10-04,IT,8.0,,LEAD3E6E59AB37,2024-09-30,2024-10-02,2024-10-05,2024-10-06,Won,2024-10
TX00019154,CUST013454,2024-10-23,Add-on,420.48,336.38,False,1,CMP0028,Organic Search,2024-10-20,NL,1.0,,LEAD3438056257,2024-10-20,2024-10-18,2024-10-22,2024-10-23,Won,2024-10
TX00014515,CUST010156,2024-09-06,Core,1078.16,754.71,False,1,CMP0004,Paid Search,2024-09-04,US,7.0,,LEAD6FA184E019,2024-09-04,2024-09-05,2024-09-11,2024-09-06,Won,2024-09
TX00007937,CUST005570,2025-03-11,Core,119.91,86.34,True,2,CMP0003,Paid Search,2024-12-24,IN,,,LEAD04CB88E086,2024-12-22,2024-12-24,2024-12-29,2025-03-11,Won,2024-12
TX00020692,CUST014505,2025-08-24,Core,421.75,295.22,False,1,CMP0006,Paid Search,2025-08-24,GB,0.0,,LEAD3EA7E39608,2025-08-17,2025-08-26,2025-08-24,2025-08-24,Won,2025-08
TX00006542,CUST004562,2025-06-06,Core,108.24,75.77,False,1,CMP0037,Referral,2025-06-05,NL,5.0,,LEAD0B6673FB62,2025-06-03,2025-06-04,2025-06-12,2025-06-06,Won,2025-06
TX00007535,CUST005265,2025-07-02,Core,255.67,178.97,False,1,CMP0001,Paid Search,2025-06-30,ES,0.0,,LEADAD2C7E4285,2025-06-26,2025-07-01,2025-07-03,2025-07-02,Won,2025-06
TX00013707,CUST009620,2024-12-06,Core,570.47,410.74,True,2,CMP0001,Paid Search,2024-10-22,NL,,,LEADA9EB1D480C,2024-10-17,2024-10-22,2024-10-25,2024-12-06,Won,2024-10
TX00018433,CUST012944,2024-12-21,Premium,155.38,102.55,True,2,CMP0019,Paid Social,2024-10-31,US,,2025-03-31,LEADFA9EB0A157,2024-10-27,2024-10-28,2024-11-06,2024-12-21,Won,2024-10
TX00000256,CUST000175,2024-03-22,Core,124.63,89.73,True,2,CMP0060,Direct,2024-01-29,PL,4.0,2024-04-29,LEAD9D43E630C2,2024-01-23,2024-01-28,2024-02-04,2024-03-22,Won,2024-01
TX00003637,CUST002551,2024-03-23,Core,129.96,90.97,False,1,CMP0004,Paid Search,2024-03-19,AU,,,LEAD2EDAEA0DF4,2024-03-17,2024-03-19,2024-03-26,2024-03-23,Won,2024-03
TX00000857,CUST000608,2025-09-11,Premium,186.94,121.51,False,1,CMP0057,Direct,2025-09-05,FR,,,LEADEE4610D565,2025-09-04,2025-09-04,2025-09-07,2025-09-11,Won,2025-09
TX00009986,CUST007002,2024-10-10,Core,477.67,343.92,True,2,CMP0032,Email,2024-06-29,IT,5.0,,LEADB5FA23B335,2024-06-26,2024-06-28,2024-07-02,2024-10-10,Won,2024-06
TX00004800,CUST003353,2025-03-01,Premium,669.03,434.87,False,1,CMP0037,Referral,2025-02-27,ES,,2025-06-27,LEAD2B3C7970A8,2025-02-20,2025-02-28,2025-03-02,2025-03-01,Won,2025-02
TX00022764,CUST015946,2024-10-23,Core,455.1,318.57,False,1,CMP0033,Email,2024-10-22,GB,7.0,,LEAD8459E67F20,2024-10-19,2024-10-21,2024-10-25,2024-10-23,Won,2024-10
TX00007805,CUST005476,2025-06-04,Core,82.54,57.78,False,1,CMP0009,Paid Search,2025-06-03,DE,6.0,,LEADD1136F8562,2025-05-28,2025-05-31,2025-06-10,2025-06-04,Won,2025-06
TX00010142,CUST007099,2024-03-07,Core,542.16,379.51,False,1,CMP0033,Email,2024-03-05,FR,,,LEADD73D7AF0EB,2024-03-02,2024-03-05,2024-03-10,2024-03-07,Won,2024-03
TX00020398,CUST014314,2024-02-05,Premium,164.98,107.24,False,1,CMP0036,Referral,2024-02-02,US,3.0,,LEAD825B1E3129,2024-01-26,2024-01-30,2024-02-03,2024-02-05,Won,2024-02
TX00003707,CUST002593,2025-08-03,Core,64.2,46.22,True,2,CMP0027,Organic Search,2025-05-14,IT,8.0,,LEAD26224160C0,2025-05-12,2025-05-13,2025-05-16,2025-08-03,Won,2025-05
TX00003551,CUST002498,2025-01-26,Add-on,125.29,100.23,False,1,CMP0008,Paid Search,2025-01-23,ES,8.0,,LEAD80E90EFCE0,2025-01-18,2025-01-23,2025-01-24,2025-01-26,Won,2025-01
TX00011926,CUST008357,2025-08-21,Core,457.97,320.58,False,1,CMP0020,Paid Social,2025-08-18,US,4.0,,LEADA05447A0DE,2025-08-13,2025-08-16,2025-08-20,2025-08-21,Won,2025-08
TX00004003,CUST002797,2024-10-21,Core,372.2,260.54,False,1,CMP0005,Paid Search,2024-10-17,SE,9.0,,LEAD52C7BB5678,2024-10-16,2024-10-17,2024-10-20,2024-10-21,Won,2024-10
TX00009179,CUST006430,2025-09-06,Premium,748.11,486.27,False,1,CMP0006,Paid Search,2025-09-03,PL,0.0,2025-12-03,LEAD3624895942,2025-08-27,2025-09-01,2025-09-06,2025-09-06,Won,2025-09
TX00002090,CUST001455,2024-11-14,Premium,150.75,99.5,True,2,CMP0003,Paid Search,2024-07-22,ES,2.0,,LEAD85B3CE1ED0,2024-07-18,2024-07-24,2024-07-28,2024-11-14,Won,2024-07
TX00000475,CUST000330,2025-06-11,Core,323.62,226.53,False,1,CMP0059,Direct,2025-06-08,SE,2.0,,LEAD5420B16504,2025-06-07,2025-06-08,2025-06-14,2025-06-11,Won,2025-06
TX00021056,CUST014751,2024-07-31,Core,97.57,68.3,False,1,CMP0010,Paid Sreach,2024-07-29,NL,10.0,2025-04-29,LEAD716EA1E932,2024-07-27,2024-07-31,2024-08-04,2024-07-31,Won,2024-07
TX00012684,CUST008898,2025-06-12,Core,306.65,220.79,True,2,CMP0036,Referral,2025-02-17,BR,7.0,,LEAD7BCBDD4EB2,2025-02-13,2025-02-14,2025-02-22,2025-06-12,Won,2025-02
TX00012522,CUST008787,2024-12-25,Add-on,281.11,224.89,False,1,CMP0059,Direct,2024-12-21,GB,7.0,2025-04-21,LEADC7B06F9170,2024-12-18,2024-12-21,2024-12-22,2024-12-25,Won,2024-12
TX00011218,CUST007860,2025-10-11,Core,340.68,238.48,False,1,CMP0002,Paid Search,2025-10-07,DE,8.0,,LEADF4DB3D9F5A,2025-10-02,2025-10-08,2025-10-07,2025-10-11,Won,2025-10
TX00013757,CUST009652,2025-06-13,Premium,100.5,65.33,False,1,CMP0007,Paid Search,2025-06-10,IT,5.0,,LEADD32FDF1E34,2025-06-05,2025-06-08,2025-06-13,2025-06-13,Won,2025-06
TX00011025,CUST007727,2024-12-25,Core,547.42,383.19,False,1,CMP0007,Paid Search,2024-12-25,AU,5.0,2025-10-25,LEAD1E323DEAF7,2024-12-19,2024-12-25,2025-01-01,2024-12-25,Won,2024-12
TX00012341,CUST008655,2024-03-24,Add-on,77.03,63.16,True,2,CMP0032,Email,2024-02-17,US,7.0,2025-09-17,LEAD6A9CF4CB91,2024-02-10,2024-02-15,2024-02-20,2024-03-24,Won,2024-02
TX00017323,CUST012154,2025-09-22,Add-on,441.15,352.92,False,1,CMP0036,Referral,2025-09-20,AU,8.0,,LEAD14835936DA,2025-09-19,2025-09-17,2025-09-20,2025-09-22,Won,2025-09
TX00008467,CUST005943,2025-02-01,Premium,109.24,71.01,False,1,CMP0032,Email,2025-01-26,BR,,,LEADF6FEA652A0,2025-01-20,2025-01-26,2025-01-26,2025-02-01,Won,2025-01
TX00018842,CUST013235,2025-08-21,Core,125.76,90.55,True,2,CMP0005,Paid Search,2025-04-19,US,10.0,,LEADD210157D2D,2025-04-19,2025-04-19,2025-04-26,2025-08-21,Won,2025-04
TX00010924,CUST007645,2025-04-02,Core,539.85,388.69,True,2,CMP0001,Paid Search,2024-12-11,SE,5.0,,LEAD9966304698,2024-12-05,2024-12-12,2024-12-14,2025-04-02,Won,2024-12
TX00005850,CUST004088,2024-11-24,Core,1510.5,1057.35,False,1,CMP0037,Referral,2024-11-24,IT,8.0,,LEAD79C4C3E8A7,2024-11-19,2024-11-25,2024-11-24,2024-11-24,Won,2024-11
TX00003389,CUST002379,2024-07-30,Premium,175.14,115.59,True,3,CMP0009,Paid Search,2024-04-07,IT,7.0,,LEADA8948E1CE7,2024-04-02,2024-04-07,2024-04-13,2024-07-30,Won,2024-04
TX00003100,CUST002167,2024-06-09,Premium,176.76,114.89,False,1,CMP0036,Referral,2024-06-05,IT,10.0,,LEAD12303CAD92,2024-06-03,2024-06-03,2024-06-10,2024-06-09,Won,2024-06
TX00003457,CUST002430,2025-02-26,Core,939.69,657.78,False,1,CMP0002,Paid Search,2025-02-20,ES,,,LEADBE0BB8FC50,2025-02-14,2025-02-19,2025-02-22,2025-02-26,Won,2025-02
TX00005727,CUST004002,2024-11-10,Premium,175.86,114.31,False,1,CMP0017,Paid Social,2024-11-05,FR,,,LEAD4231317FAA,2024-11-02,2024-11-02,2024-11-09,2024-11-10,Won,2024-11
TX00018936,CUST013306,2024-08-20,Core,161.08,112.76,False,1,CMP0035,Referral,2024-08-19,FR,,,LEAD72FC37C589,2024-08-18,2024-08-16,2024-08-23,2024-08-20,Won,2024-08
TX00020540,CUST014408,2025-06-18,Core,175.07,122.55,False,1,CMP0003,Paid Search,2025-06-13,GB,7.0,,LEADE80FEC9608,2025-06-12,2025-06-11,2025-06-14,2025-06-18,Won,2025-06
TX00014084,CUST009880,2024-08-05,Core,366.7,256.69,False,1,CMP0058,Direct,2024-08-05,GB,3.0,,LEAD9F4D3CC5A8,2024-07-29,2024-08-02,2024-08-12,2024-08-05,Won,2024-08
TX00005083,CUST003547,2025-01-04,Add-on,371.52,304.65,True,2,CMP0036,Referral,2024-09-07,DE,,,LEADFE45D259F2,2024-09-02,2024-09-09,2024-09-07,2025-01-04,Won,2024-09
TX00000287,CUST000199,2024-03-19,Core,271.53,190.07,False,1,CMP0058,Direct,2024-03-19,ES,6.0,,LEADDB24FC6892,2024-03-15,2024-03-18,2024-03-21,2024-03-19,Won,2024-03
TX00011116,CUST007792,2024-06-17,Premium,86.18,56.02,False,1,CMP0001,Paid Search,2024-06-13,AU,10.0,,LEAD6564F26724,2024-06-10,2024-06-11,2024-06-16,2024-06-17,Won,2024-06
TX00014214,CUST009968,2024-09-22,Premium,181.33,117.86,False,1,CMP0060,Direct,2024-09-22,PL,0.0,,LEADD42560F3A3,2024-09-17,2024-09-22,2024-09-29,2024-09-22,Lost,2024-09
TX00004554,CUST003180,2025-03-17,Add-on,261.58,214.5,True,2,CMP0060,Direct,2025-01-20,GB,0.0,,LEAD14AF7B5A30,2025-01-19,2025-01-19,2025-01-22,2025-03-17,Lost,2025-01
